year,day,stars,position,time
2015,23,1,48,1020
2015,23,1,49,1021
2015,23,1,50,1026
2015,23,1,51,1026
2015,23,1,52,1061
2015,23,1,53,1063
2015,23,1,54,1067
2015,23,1,55,1077
2015,23,1,56,1085
2015,23,1,57,1094
2015,23,1,58,1105
2015,23,1,59,1119
2015,23,1,60,1120
2015,23,1,61,1127
2015,23,1,62,1175
2015,23,1,63,1185
2015,23,1,64,1199
2015,23,1,65,1200
2015,23,1,66,1203
2015,23,1,67,1216
2015,23,1,68,1290
2015,23,1,69,1317
2015,23,1,70,1318
2015,23,1,71,1326
2015,23,1,72,1326
2015,23,1,73,1330
2015,23,1,74,1333
2015,23,1,75,1350
2015,23,1,76,1367
2015,23,1,77,1384
2015,23,1,78,1385
2015,23,1,79,1392
2015,23,1,80,1392
2015,23,1,81,1423
2015,23,1,82,1438
2015,23,1,83,1438
2015,23,1,84,1448
2015,23,1,85,1453
2015,23,1,86,1459
2015,23,1,87,1542
2015,23,1,88,1548
2015,23,1,89,1558
2015,23,1,90,1576
2015,23,1,91,1582
2015,23,1,92,1584
2015,23,1,93,1599
2015,23,1,94,1616
2015,23,1,95,1617
2015,23,1,96,1627
2015,23,1,97,1628
2015,23,1,98,1649
2015,23,1,99,1696
2015,23,1,100,1733
2015,24,2,1,294
2015,24,2,2,319
2015,24,2,3,432
2015,24,2,4,512
2015,24,2,5,565
2015,24,2,6,596
2015,24,2,7,630
2015,24,2,8,638
2015,24,2,9,704
2015,24,2,10,768
2015,24,2,11,795
2015,24,2,12,815
2015,24,2,13,815
2015,24,2,14,870
2015,24,2,15,875
2015,24,2,16,971
2015,24,2,17,981
2015,24,2,18,1001
2015,24,2,19,1003
2015,24,2,20,1014
2015,24,2,21,1053
2015,24,2,22,1065
2015,24,2,23,1097
2015,24,2,24,1181
2015,24,2,25,1185
2015,24,2,26,1200
2015,24,2,27,1215
2015,24,2,28,1257
2015,24,2,29,1282
2015,24,2,30,1347
2015,24,2,31,1432
2015,24,2,32,1461
2015,24,2,33,1469
2015,24,2,34,1489
2015,24,2,35,1506
2015,24,2,36,1531
2015,24,2,37,1600
2015,24,2,38,1608
2015,24,2,39,1615
2015,24,2,40,1621
2015,24,2,41,1631
2015,24,2,42,1632
2015,24,2,43,1672
2015,24,2,44,1716
2015,24,2,45,1719
2015,24,2,46,1732
2015,24,2,47,1758
2015,24,2,48,1775
2015,24,2,49,1803
2015,24,2,50,1857
2015,24,2,51,1878
2015,24,2,52,1955
2015,24,2,53,2012
2015,24,2,54,2013
2015,24,2,55,2026
2015,24,2,56,2039
2015,24,2,57,2065
2015,24,2,58,2099
2015,24,2,59,2107
2015,24,2,60,2110
2015,24,2,61,2116
2015,24,2,62,2151
2015,24,2,63,2194
2015,24,2,64,2210
2015,24,2,65,2245
2015,24,2,66,2251
2015,24,2,67,2304
2015,24,2,68,2351
2015,24,2,69,2401
2015,24,2,70,2425
2015,24,2,71,2441
2015,24,2,72,2442
2015,24,2,73,2458
2015,24,2,74,2475
2015,24,2,75,2481
2015,24,2,76,2503
2015,24,2,77,2563
2015,24,2,78,2611
2015,24,2,79,2687
2015,24,2,80,2691
2015,24,2,81,2699
2015,24,2,82,2726
2015,24,2,83,2732
2015,24,2,84,2766
2015,24,2,85,2798
2015,24,2,86,2842
2015,24,2,87,2843
2015,24,2,88,2950
2015,24,2,89,2958
2015,24,2,90,2962
2015,24,2,91,3017
2015,24,2,92,3100
2015,24,2,93,3177
2015,24,2,94,3180
2015,24,2,95,3202
2015,24,2,96,3203
2015,24,2,97,3235
2015,24,2,98,3241
2015,24,2,99,3277
2015,24,2,100,3362
2015,24,1,1,268
2015,24,1,2,291
2015,24,1,3,376
2015,24,1,4,402
2015,24,1,5,477
2015,24,1,6,535
2015,24,1,7,561
2015,24,1,8,606
2015,24,1,9,656
2015,24,1,10,734
2015,24,1,11,755
2015,24,1,12,769
2015,24,1,13,773
2015,24,1,14,829
2015,24,1,15,836
2015,24,1,16,838
2015,24,1,17,899
2015,24,1,18,906
2015,24,1,19,907
2015,24,1,20,917
2015,24,1,21,929
2015,24,1,22,953
2015,24,1,23,963
2015,24,1,24,992
2015,24,1,25,1004
2015,24,1,26,1034
2015,24,1,27,1045
2015,24,1,28,1055
2015,24,1,29,1059
2015,24,1,30,1074
2015,24,1,31,1087
2015,24,1,32,1131
2015,24,1,33,1137
2015,24,1,34,1154
2015,24,1,35,1163
2015,24,1,36,1276
2015,24,1,37,1300
2015,24,1,38,1307
2015,24,1,39,1331
2015,24,1,40,1398
2015,24,1,41,1440
2015,24,1,42,1468
2015,24,1,43,1490
2015,24,1,44,1508
2015,24,1,45,1515
2015,24,1,46,1532
2015,24,1,47,1537
2015,24,1,48,1547
2015,24,1,49,1551
2015,24,1,50,1595
2015,24,1,51,1597
2015,24,1,52,1612
2015,24,1,53,1622
2015,24,1,54,1629
2015,24,1,55,1667
2015,24,1,56,1671
2015,24,1,57,1692
2015,24,1,58,1737
2015,24,1,59,1795
2015,24,1,60,1836
2015,24,1,61,1839
2015,24,1,62,1874
2015,24,1,63,1899
2015,24,1,64,1923
2015,24,1,65,1930
2015,24,1,66,1930
2015,24,1,67,1980
2015,24,1,68,1990
2015,24,1,69,1991
2015,24,1,70,1997
2015,24,1,71,2012
2015,24,1,72,2018
2015,24,1,73,2020
2015,24,1,74,2032
2015,24,1,75,2044
2015,24,1,76,2074
2015,24,1,77,2081
2015,24,1,78,2085
2015,24,1,79,2108
2015,24,1,80,2114
2015,24,1,81,2137
2015,24,1,82,2178
2015,24,1,83,2230
2015,24,1,84,2337
2015,24,1,85,2341
2015,24,1,86,2376
2015,24,1,87,2431
2015,24,1,88,2479
2015,24,1,89,2487
2015,24,1,90,2546
2015,24,1,91,2550
2015,24,1,92,2602
2015,24,1,93,2618
2015,24,1,94,2618
2015,24,1,95,2640
2015,24,1,96,2697
2015,24,1,97,2709
2015,24,1,98,2722
2015,24,1,99,2731
2015,24,1,100,2758
2015,25,2,1,257
2015,25,2,2,274
2015,25,2,3,340
2015,25,2,4,342
2015,25,2,5,358
2015,25,2,6,382
2015,25,2,7,391
2015,25,2,8,408
2015,25,2,9,416
2015,25,2,10,445
2015,25,2,11,469
2015,25,2,12,493
2015,25,2,13,498
2015,25,2,14,517
2015,25,2,15,521
2015,25,2,16,527
2015,25,2,17,528
2015,25,2,18,530
2015,25,2,19,541
2015,25,2,20,547
2015,25,2,21,547
2015,25,2,22,553
2015,25,2,23,570
2015,25,2,24,571
2015,25,2,25,584
2015,25,2,26,584
2015,25,2,27,588
2015,25,2,28,593
2015,25,2,29,599
2015,25,2,30,604
2015,25,2,31,613
2015,25,2,32,630
2015,25,2,33,630
2015,25,2,34,640
2015,25,2,35,641
2015,25,2,36,650
2015,25,2,37,652
2015,25,2,38,653
2015,25,2,39,657
2015,25,2,40,668
2015,25,2,41,676
2015,25,2,42,696
2015,25,2,43,705
2015,25,2,44,705
2015,25,2,45,706
2015,25,2,46,709
2015,25,2,47,711
2015,25,2,48,713
2015,25,2,49,718
2015,25,2,50,719
2015,25,2,51,720
2015,25,2,52,726
2015,25,2,53,728
2015,25,2,54,743
2015,25,2,55,762
2015,25,2,56,765
2015,25,2,57,768
2015,25,2,58,770
2015,25,2,59,774
2015,25,2,60,776
2015,25,2,61,779
2015,25,2,62,788
2015,25,2,63,789
2015,25,2,64,795
2015,25,2,65,796
2015,25,2,66,799
2015,25,2,67,806
2015,25,2,68,811
2015,25,2,69,812
2015,25,2,70,816
2015,25,2,71,819
2015,25,2,72,821
2015,25,2,73,824
2015,25,2,74,829
2015,25,2,75,833
2015,25,2,76,837
2015,25,2,77,840
2015,25,2,78,841
2015,25,2,79,848
2015,25,2,80,854
2015,25,2,81,856
2015,25,2,82,856
2015,25,2,83,861
2015,25,2,84,862
2015,25,2,85,869
2015,25,2,86,870
2015,25,2,87,870
2015,25,2,88,876
2015,25,2,89,877
2015,25,2,90,878
2015,25,2,91,882
2015,25,2,92,885
2015,25,2,93,890
2015,25,2,94,892
2015,25,2,95,913
2015,25,2,96,924
2015,25,2,97,929
2015,25,2,98,934
2015,25,2,99,936
2015,25,2,100,947
2015,25,1,1,250
2015,25,1,2,259
2015,25,1,3,329
2015,25,1,4,331
2015,25,1,5,338
2015,25,1,6,356
2015,25,1,7,380
2015,25,1,8,398
2015,25,1,9,398
2015,25,1,10,433
2015,25,1,11,459
2015,25,1,12,467
2015,25,1,13,489
2015,25,1,14,506
2015,25,1,15,507
2015,25,1,16,510
2015,25,1,17,516
2015,25,1,18,518
2015,25,1,19,524
2015,25,1,20,534
2015,25,1,21,534
2015,25,1,22,536
2015,25,1,23,559
2015,25,1,24,559
2015,25,1,25,570
2015,25,1,26,570
2015,25,1,27,571
2015,25,1,28,574
2015,25,1,29,577
2015,25,1,30,586
2015,25,1,31,592
2015,25,1,32,610
2015,25,1,33,615
2015,25,1,34,622
2015,25,1,35,625
2015,25,1,36,632
2015,25,1,37,640
2015,25,1,38,641
2015,25,1,39,642
2015,25,1,40,651
2015,25,1,41,664
2015,25,1,42,678
2015,25,1,43,680
2015,25,1,44,681
2015,25,1,45,687
2015,25,1,46,689
2015,25,1,47,690
2015,25,1,48,690
2015,25,1,49,691
2015,25,1,50,692
2015,25,1,51,697
2015,25,1,52,699
2015,25,1,53,702
2015,25,1,54,706
2015,25,1,55,706
2015,25,1,56,718
2015,25,1,57,726
2015,25,1,58,739
2015,25,1,59,740
2015,25,1,60,750
2015,25,1,61,757
2015,25,1,62,762
2015,25,1,63,763
2015,25,1,64,763
2015,25,1,65,763
2015,25,1,66,770
2015,25,1,67,771
2015,25,1,68,774
2015,25,1,69,776
2015,25,1,70,779
2015,25,1,71,784
2015,25,1,72,792
2015,25,1,73,794
2015,25,1,74,797
2015,25,1,75,798
2015,25,1,76,808
2015,25,1,77,809
2015,25,1,78,816
2015,25,1,79,817
2015,25,1,80,819
2015,25,1,81,822
2015,25,1,82,825
2015,25,1,83,828
2015,25,1,84,829
2015,25,1,85,831
2015,25,1,86,839
2015,25,1,87,845
2015,25,1,88,848
2015,25,1,89,850
2015,25,1,90,861
2015,25,1,91,861
2015,25,1,92,862
2015,25,1,93,864
2015,25,1,94,866
2015,25,1,95,866
2015,25,1,96,873
2015,25,1,97,874
2015,25,1,98,881
2015,25,1,99,899
2015,25,1,100,909
2016,1,2,1,421
2016,1,2,2,427
2016,1,2,3,507
2016,1,2,4,512
2016,1,2,5,558
2016,1,2,6,672
2016,1,2,7,699
2016,1,2,8,745
2016,1,2,9,779
2016,1,2,10,829
2016,1,2,11,859
2016,1,2,12,866
2016,1,2,13,883
2016,1,2,14,928
2016,1,2,15,942
2016,1,2,16,946
2016,1,2,17,957
2016,1,2,18,979
2016,1,2,19,1007
2016,1,2,20,1067
2016,1,2,21,1108
2016,1,2,22,1110
2016,1,2,23,1119
2016,1,2,24,1125
2016,1,2,25,1131
2016,1,2,26,1156
2016,1,2,27,1161
2016,1,2,28,1212
2016,1,2,29,1214
2016,1,2,30,1217
2016,1,2,31,1231
2016,1,2,32,1231
2016,1,2,33,1244
2016,1,2,34,1275
2016,1,2,35,1294
2016,1,2,36,1303
2016,1,2,37,1310
2016,1,2,38,1316
2016,1,2,39,1329
2016,1,2,40,1339
2016,1,2,41,1346
2016,1,2,42,1355
2016,1,2,43,1357
2016,1,2,44,1377
2016,1,2,45,1395
2016,1,2,46,1444
2016,1,2,47,1451
2016,1,2,48,1469
2016,1,2,49,1516
2016,1,2,50,1535
2016,1,2,51,1541
2016,1,2,52,1550
2016,1,2,53,1569
2016,1,2,54,1572
2016,1,2,55,1584
2016,1,2,56,1595
2016,1,2,57,1666
2016,1,2,58,1667
2016,1,2,59,1697
2016,1,2,60,1722
2016,1,2,61,1729
2016,1,2,62,1736
2016,1,2,63,1759
2016,1,2,64,1767
2016,1,2,65,1783
2016,1,2,66,1794
2016,1,2,67,1798
2016,1,2,68,1825
2016,1,2,69,1851
2016,1,2,70,1875
2016,1,2,71,1876
2016,1,2,72,1888
2016,1,2,73,1899
2016,1,2,74,1906
2016,1,2,75,1944
2016,1,2,76,1945
2016,1,2,77,2003
2016,1,2,78,2013
2016,1,2,79,2024
2016,1,2,80,2032
2016,1,2,81,2035
2016,1,2,82,2092
2016,1,2,83,2100
2016,1,2,84,2105
2016,1,2,85,2106
2016,1,2,86,2117
2016,1,2,87,2131
2016,1,2,88,2132
2016,1,2,89,2136
2016,1,2,90,2146
2016,1,2,91,2157
2016,1,2,92,2162
2016,1,2,93,2191
2016,1,2,94,2200
2016,1,2,95,2211
2016,1,2,96,2245
2016,1,2,97,2273
2016,1,2,98,2314
2016,1,2,99,2328
2016,1,2,100,2329
2016,1,1,1,237
2016,1,1,2,271
2016,1,1,3,277
2016,1,1,4,281
2016,1,1,5,313
2016,1,1,6,335
2016,1,1,7,345
2016,1,1,8,380
2016,1,1,9,400
2016,1,1,10,403
2016,1,1,11,403
2016,1,1,12,420
2016,1,1,13,432
2016,1,1,14,435
2016,1,1,15,449
2016,1,1,16,467
2016,1,1,17,471
2016,1,1,18,500
2016,1,1,19,508
2016,1,1,20,522
2016,1,1,21,536
2016,1,1,22,544
2016,1,1,23,548
2016,1,1,24,556
2016,1,1,25,566
2016,1,1,26,578
2016,1,1,27,581
2016,1,1,28,588
2016,1,1,29,592
2016,1,1,30,594
2016,1,1,31,608
2016,1,1,32,608
2016,1,1,33,609
2016,1,1,34,614
2016,1,1,35,619
2016,1,1,36,624
2016,1,1,37,640
2016,1,1,38,655
2016,1,1,39,655
2016,1,1,40,661
2016,1,1,41,665
2016,1,1,42,668
2016,1,1,43,671
2016,1,1,44,678
2016,1,1,45,689
2016,1,1,46,695
2016,1,1,47,713
2016,1,1,48,726
2016,1,1,49,730
2016,1,1,50,742
2016,1,1,51,744
2016,1,1,52,744
2016,1,1,53,749
2016,1,1,54,754
2016,1,1,55,760
2016,1,1,56,764
2016,1,1,57,765
2016,1,1,58,766
2016,1,1,59,769
2016,1,1,60,785
2016,1,1,61,789
2016,1,1,62,791
2016,1,1,63,792
2016,1,1,64,792
2016,1,1,65,793
2016,1,1,66,794
2016,1,1,67,820
2016,1,1,68,844
2016,1,1,69,868
2016,1,1,70,872
2016,1,1,71,879
2016,1,1,72,887
2016,1,1,73,908
2016,1,1,74,915
2016,1,1,75,919
2016,1,1,76,942
2016,1,1,77,953
2016,1,1,78,970
2016,1,1,79,982
2016,1,1,80,987
2016,1,1,81,991
2016,1,1,82,996
2016,1,1,83,1002
2016,1,1,84,1025
2016,1,1,85,1027
2016,1,1,86,1032
2016,1,1,87,1034
2016,1,1,88,1038
2016,1,1,89,1040
2016,1,1,90,1055
2016,1,1,91,1081
2016,1,1,92,1100
2016,1,1,93,1107
2016,1,1,94,1111
2016,1,1,95,1133
2016,1,1,96,1136
2016,1,1,97,1145
2016,1,1,98,1155
2016,1,1,99,1170
2016,1,1,100,1179
2016,2,2,1,349
2016,2,2,2,370
2016,2,2,3,425
2016,2,2,4,430
2016,2,2,5,458
2016,2,2,6,464
2016,2,2,7,464
2016,2,2,8,479
2016,2,2,9,496
2016,2,2,10,500
2016,2,2,11,532
2016,2,2,12,537
2016,2,2,13,551
2016,2,2,14,558
2016,2,2,15,567
2016,2,2,16,569
2016,2,2,17,572
2016,2,2,18,590
2016,2,2,19,597
2016,2,2,20,620
2016,2,2,21,621
2016,2,2,22,623
2016,2,2,23,632
2016,2,2,24,633
2016,2,2,25,635
2016,2,2,26,638
2016,2,2,27,682
2016,2,2,28,686
2016,2,2,29,702
2016,2,2,30,711
2016,2,2,31,714
2016,2,2,32,716
2016,2,2,33,733
2016,2,2,34,755
2016,2,2,35,755
2016,2,2,36,758
2016,2,2,37,770
2016,2,2,38,777
2016,2,2,39,781
2016,2,2,40,797
2016,2,2,41,810
2016,2,2,42,813
2016,2,2,43,819
2016,2,2,44,829
